연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2022,5,18,1,범죄도시2,131297440478,0.113,12693302,2521,355767,한국,한국,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",2022-05-18T00:00:00Z
2022,6,22,2,탑건: 매버릭,87855360975,0.076,8177446,1975,249415,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트,2022-06-22T00:00:00Z
2022,12,14,3,아바타: 물의 길,90296839202,0.078,7313149,2809,152626,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2022-12-14T00:00:00Z
2022,7,27,4,한산: 용의 출현,73700628377,0.064,7264934,2223,217713,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2022-07-27T00:00:00Z
2022,9,7,5,공조2: 인터내셔날,70916352586,0.061,6982840,2389,275814,한국,한국,(주)씨제이이엔엠,2022-09-07T00:00:00Z
2022,5,4,6,닥터 스트레인지: 대혼돈의 멀티버스,62648728870,0.054,5884587,2691,211097,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2022-05-04T00:00:00Z
2022,8,10,7,헌트,44600858153,0.038,4352390,1625,170963,한국,한국,플러스엠 엔터테인먼트,2022-08-10T00:00:00Z
2022,11,23,8,올빼미,31769067550,0.027,3222767,1541,142130,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2022-11-23T00:00:00Z
2022,6,1,9,쥬라기 월드: 도미니언,29237071310,0.025,2837410,2218,86427,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2022-06-01T00:00:00Z
2022,6,15,10,마녀(魔女) Part2. The Other One,28922488670,0.025,2806501,1796,94940,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2022-06-15T00:00:00Z
2022,7,6,11,토르: 러브 앤 썬더,29505081721,0.025,2716306,2143,107527,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2022-07-06T00:00:00Z
2022,7,20,12,미니언즈2,21999556172,0.019,2269024,1394,78960,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2022-07-20T00:00:00Z
2022,11,9,13,블랙 팬서: 와칸다 포에버,22203069405,0.019,2105641,2571,121601,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2022-11-09T00:00:00Z
2022,8,3,14,비상선언,20927363328,0.018,2058869,1734,73045,한국,한국,(주)쇼박스,2022-08-03T00:00:00Z
2021,12,15,15,스파이더맨: 노 웨이 홈,19496498450,0.017,1991050,2162,131941,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-12-15T00:00:00Z
2022,8,24,16,육사오(6/45),19791166880,0.017,1980769,1339,105933,한국,한국,"(주)홈초이스,(주)싸이더스",2022-08-24T00:00:00Z
2022,6,29,17,헤어질 결심,19642291589,0.017,1893954,1374,79620,한국,한국,(주)씨제이이엔엠,2022-06-29T00:00:00Z
2022,7,20,18,외계+인 1부,15995553548,0.0139999999999999,1539362,1959,68414,한국,한국,(주)씨제이이엔엠,2022-07-20T00:00:00Z
2022,12,21,19,영웅,14534225323,0.013,1487679,1314,45482,한국,한국,(주)씨제이이엔엠,2022-12-21T00:00:00Z
2022,1,26,20,해적: 도깨비 깃발,12523963990,0.011,1339242,1708,117320,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2022-01-26T00:00:00Z
2022,6,8,21,브로커,12586786030,0.011,1261131,1594,66203,한국,한국,(주)씨제이이엔엠,2022-06-08T00:00:00Z
2022,4,13,22,신비한 동물들과 덤블도어의 비밀,12305198580,0.011,1195441,2207,106090,미국,미국,워너브러더스 코리아(주),2022-04-13T00:00:00Z
2022,9,28,23,인생은 아름다워,10898038019,0.009,1171602,1285,106970,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2022-09-28T00:00:00Z
2022,3,1,24,더 배트맨,9339130700,0.008,904238,2370,97370,미국,미국,워너브러더스 코리아(주),2022-03-01T00:00:00Z
2022,11,16,25,데시벨,8846169146,0.008,900654,1152,55336,한국,한국,(주)마인드마크,2022-11-16T00:00:00Z
2022,9,28,26,정직한 후보2,8446139162,0.00699999999999999,899684,1318,77220,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2022-09-28T00:00:00Z
2022,1,5,27,씽2게더,8193478050,0.00699999999999999,885067,1251,72580,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2022-01-05T00:00:00Z
2022,9,28,28,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,8363867924,0.00699999999999999,836665,873,41965,일본,일본,(주)씨제이이엔엠,2022-09-28T00:00:00Z
2022,10,19,29,블랙 아담,8040723608,0.00699999999999999,779485,1524,77116,미국,미국,워너브러더스 코리아(주),2022-10-19T00:00:00Z
2022,1,26,30,킹메이커,7318959610,0.006,775968,1185,80072,한국,한국,플러스엠 엔터테인먼트,2022-01-26T00:00:00Z
2022,10,26,31,자백,7352559230,0.006,738120,1115,78568,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2022-10-26T00:00:00Z
2022,2,16,32,언차티드,7116304100,0.006,730924,1536,77036,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022-02-16T00:00:00Z
2022,1,5,33,경관의 피,6687389520,0.006,679503,1187,57409,한국,한국,(주)에이스메이커무비웍스,2022-01-05T00:00:00Z
2022,11,30,34,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",6750156802,0.006,662397,439,20340,일본,일본,"(주)바이포엠스튜디오,홀리가든",2022-11-30T00:00:00Z
2022,2,17,35,극장판 주술회전 0,6602758252,0.006,662099,843,66699,일본,일본,(주)대교 미디어콘텐츠사업본부,2022-02-17T00:00:00Z
2022,11,30,36,압꾸정,5722751661,0.005,608197,1229,47408,한국,한국,(주)쇼박스,2022-11-30T00:00:00Z
2022,6,1,37,극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,5477045710,0.005,581216,809,14101,일본,일본,(주)넥스트엔터테인먼트월드(NEW),2022-06-01T00:00:00Z
2022,3,9,38,이상한 나라의 수학자,5045184520,0.004,534287,1357,72424,한국,한국,(주)쇼박스,2022-03-09T00:00:00Z
2022,7,13,39,명탐정 코난: 할로윈의 신부,5119750724,0.004,490868,758,19422,일본,일본,(주)씨제이이엔엠,2022-07-13T00:00:00Z
2022,11,16,40,동감,4755257700,0.004,490145,1013,37451,한국,한국,씨제이 씨지브이(CJ CGV)(주),2022-11-16T00:00:00Z
2022,3,30,41,모비우스,4669517390,0.004,475928,1696,71160,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022-03-30T00:00:00Z
2022,9,21,42,늑대사냥,4769650393,0.004,458720,1226,39242,한국,한국,"TCO(주)더콘텐츠온,씨제이 씨지브이(CJ CGV)(주)",2022-09-21T00:00:00Z
2022,7,28,43,뽀로로 극장판 드래곤캐슬 대모험,4192060075,0.004,447710,748,17846,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2022-07-28T00:00:00Z
2022,1,12,44,특송,4172193200,0.004,443177,996,48006,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2022-01-12T00:00:00Z
2022,4,27,45,니 부모 얼굴이 보고 싶다,3949569280,0.003,416523,1008,39190,한국,한국,(주)마인드마크,2022-04-27T00:00:00Z
2022,8,17,46,놉,4709541135,0.004,415969,1031,31744,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2022-08-17T00:00:00Z
2022,10,26,47,리멤버,3969817717,0.003,412778,1189,51985,한국,한국,(주)에이스메이커무비웍스,2022-10-26T00:00:00Z
2021,12,22,48,킹스맨: 퍼스트 에이전트,4159334510,0.004,406904,913,27268,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2021-12-22T00:00:00Z
