연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2012,7,25,1,도둑들,93664808500,0.064,12983178,1091,155392,한국,"한국,홍콩",(주)쇼박스,2012-07-25T00:00:00Z
2012,9,13,2,"광해, 왕이 된 남자",88899448769,0.061,12319390,1001,203400,한국,한국,(주)씨제이이엔엠,2012-09-13T00:00:00Z
2012,4,26,3,어벤져스,59557853478,0.0409999999999999,7074867,967,109697,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜",2012-04-26T00:00:00Z
2012,10,31,4,늑대소년,46590107000,0.032,6654390,854,109069,한국,한국,(주)씨제이이엔엠,2012-10-31T00:00:00Z
2012,7,19,5,다크 나이트 라이즈,47644838000,0.033,6396528,1210,81254,미국,"미국,영국",워너브러더스 코리아(주),2012-07-19T00:00:00Z
2012,8,8,6,바람과 함께 사라지다,34614661161,0.024,4909937,694,78591,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2012-08-08T00:00:00Z
2012,6,28,7,어메이징 스파이더맨,41163951235,0.0279999999999999,4853123,1118,92755,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-06-28T00:00:00Z
2012,2,2,8,범죄와의 전쟁: 나쁜놈들 전성시대,36538823500,0.025,4719872,713,91889,한국,한국,(주)쇼박스,2012-02-02T00:00:00Z
2012,5,17,9,내 아내의 모든 것,34223620500,0.024,4598821,563,91773,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2012-05-17T00:00:00Z
2012,7,5,10,연가시,32175400664,0.022,4515833,759,71928,한국,한국,(주)씨제이이엔엠,2012-07-05T00:00:00Z
2012,3,22,11,건축학개론,30222696000,0.021,4111068,593,106067,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2012-03-22T00:00:00Z
2012,1,18,12,댄싱퀸,30130775500,0.021,4058225,544,80987,한국,한국,(주)씨제이이엔엠,2012-01-18T00:00:00Z
2012,1,18,13,부러진 화살,25878629500,0.018,3451025,530,71560,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2012-01-18T00:00:00Z
2012,5,24,14,맨 인 블랙 3,27301520070,0.019,3379762,770,69538,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-05-24T00:00:00Z
2012,12,19,15,레미제라블,23428605500,0.016,3210107,696,33153,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2012-12-19T00:00:00Z
2012,11,29,16,26년,21111878145,0.015,2940475,611,50044,한국,한국,"(주)인벤트스톤,영화사청어람(주)",2012-11-29T00:00:00Z
2012,11,8,17,내가 살인범이다,20392266000,0.0139999999999999,2729798,547,58409,한국,한국,(주)쇼박스,2012-11-08T00:00:00Z
2012,11,15,18,브레이킹 던 part2,18909583065,0.013,2654817,665,56995,미국,미국,(주)넥스트엔터테인먼트월드(NEW),2012-11-15T00:00:00Z
2012,6,6,19,후궁 : 제왕의 첩,19330302500,0.013,2636320,624,69104,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2012-06-06T00:00:00Z
2012,12,13,20,호빗: 뜻밖의 여정,21724069066,0.015,2605124,1028,44977,미국,"미국,뉴질랜드",워너브러더스 코리아(주),2012-12-13T00:00:00Z
2011,12,15,21,미션임파서블:고스트프로토콜,19536876000,0.013,2533735,697,53514,미국,미국,(주)씨제이이엔엠,2011-12-15T00:00:00Z
2012,3,8,22,화차,18459428000,0.013,2436438,548,62643,한국,한국,필라멘트픽쳐스,2012-03-08T00:00:00Z
2012,8,22,23,이웃사람,18088462369,0.012,2434269,600,56752,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2012-08-22T00:00:00Z
2012,10,26,24,007 스카이폴,17487213000,0.012,2376145,748,51357,미국,"미국,영국",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2012-10-26T00:00:00Z
2012,9,27,25,테이큰 2,17581098553,0.012,2308596,682,51344,프랑스,프랑스,이십세기폭스코리아(주),2012-09-27T00:00:00Z
2012,4,11,26,배틀쉽,16545921500,0.011,2241687,736,53109,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2012-04-11T00:00:00Z
2012,1,12,27,장화신은 고양이,17602643500,0.012,2080445,593,45451,미국,미국,(주)씨제이이엔엠,2012-01-12T00:00:00Z
2012,12,25,28,타워,14658256500,0.01,2014589,617,22278,한국,한국,(주)씨제이이엔엠,2012-12-25T00:00:00Z
2012,5,3,29,코리아,13448848500,0.009,1872681,537,49679,한국,한국,(주)씨제이이엔엠,2012-05-03T00:00:00Z
2012,12,6,30,나의 PS 파트너,13548606616,0.009,1786831,552,37625,한국,한국,(주)씨제이이엔엠,2012-12-06T00:00:00Z
2012,12,19,31,반창꼬,12459852719,0.009,1730535,466,26039,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2012-12-19T00:00:00Z
2012,2,29,32,러브픽션,13200412500,0.009,1726202,617,44130,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2012-02-29T00:00:00Z
2012,3,22,33,언터처블: 1%의 우정,12735040000,0.009,1720472,454,48976,프랑스,프랑스,(주)넥스트엔터테인먼트월드(NEW),2012-03-22T00:00:00Z
2012,7,25,34,아이스 에이지 4: 대륙 이동설,12291969704,0.008,1648110,501,26899,미국,미국,이십세기폭스코리아(주),2012-07-25T00:00:00Z
