연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2015,8,5,1,베테랑,105168155250,0.061,13414009,1115,199231,한국,한국,(주)씨제이이엔엠,2015-08-05T00:00:00Z
2015,7,22,2,암살,98463132781,0.057,12705700,1519,175185,한국,한국,(주)쇼박스,2015-07-22T00:00:00Z
2015,4,23,3,어벤져스: 에이지 오브 울트론,88582586366,0.052,10494499,1843,191778,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",2015-04-23T00:00:00Z
2014,12,17,4,국제시장,69841376134,0.0409999999999999,8915904,1044,149061,한국,한국,(주)씨제이이엔엠,2014-12-17T00:00:00Z
2015,11,19,5,내부자들,56465665657,0.033,7055332,1129,152265,한국,한국,(주)쇼박스,2015-11-19T00:00:00Z
2015,9,16,6,사도,48842902501,0.0279999999999999,6246849,1210,124246,한국,한국,(주)쇼박스,2015-09-16T00:00:00Z
2015,2,11,7,킹스맨 : 시크릿 에이전트,50369009795,0.0289999999999999,6129681,728,139988,미국,"미국,영국",이십세기폭스코리아(주),2015-02-11T00:00:00Z
2015,7,30,8,미션 임파서블: 로그네이션,48547353607,0.0279999999999999,6126488,1202,89682,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,2015-07-30T00:00:00Z
2015,6,24,9,연평해전,45563228330,0.027,6043784,1013,114450,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2015-06-24T00:00:00Z
2015,6,11,10,쥬라기 월드,47800698826,0.0279999999999999,5546792,1290,118959,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2015-06-11T00:00:00Z
2015,11,5,11,검은 사제들,42405282092,0.025,5442128,1109,131155,한국,한국,(주)씨제이이엔엠,2015-11-05T00:00:00Z
2015,12,16,12,히말라야,39469775448,0.023,5129409,1095,81042,한국,한국,(주)씨제이이엔엠,2015-12-16T00:00:00Z
2015,7,9,13,인사이드 아웃,38024694936,0.022,4969735,931,84000,미국,미국,월트디즈니컴퍼니코리아(주),2015-07-09T00:00:00Z
2015,10,8,14,마션,39663145295,0.023,4880800,1132,114183,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2015-10-08T00:00:00Z
2015,2,11,15,조선명탐정 : 사라진 놉의 딸,30456879428,0.018,3872015,825,80499,한국,한국,(주)쇼박스,2015-02-11T00:00:00Z
2015,5,14,16,매드 맥스: 분노의 도로,32912842162,0.019,3843343,799,98824,미국,"미국,호주",워너브러더스 코리아(주),2015-05-14T00:00:00Z
2015,9,24,17,인턴,28517727148,0.017,3610564,659,81552,미국,미국,워너브러더스 코리아(주),2015-09-24T00:00:00Z
2015,4,1,18,분노의 질주: 더 세븐,26454098694,0.015,3247955,983,93612,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2015-04-01T00:00:00Z
2015,7,2,19,터미네이터 제니시스,26556715129,0.015,3240370,1113,77590,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,2015-07-02T00:00:00Z
