연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2023,11,22,1,서울의 봄,115350736410,0.091,11854791,2463,292300,한국,한국,플러스엠 엔터테인먼트,2023-11-22T00:00:00Z
2023,5,31,2,범죄도시3,104687737771,0.083,10682813,2582,311915,한국,한국,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",2023-05-31T00:00:00Z
2023,6,14,3,엘리멘탈,71120500040,0.0559999999999999,7238453,1664,247169,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2023-06-14T00:00:00Z
2023,3,8,4,스즈메의 문단속,57106531498,0.045,5574358,1572,244575,일본,일본,(주)쇼박스,2023-03-08T00:00:00Z
2023,7,26,5,밀수,49685009003,0.039,5143219,1932,167669,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2023-07-26T00:00:00Z
2023,1,4,6,더 퍼스트 슬램덩크,50057140100,0.04,4786406,1060,231062,일본,일본,(주)넥스트엔터테인먼트월드(NEW),2023-01-04T00:00:00Z
2023,5,3,7,가디언즈 오브 갤럭시: Volume 3,44357156661,0.035,4209118,1819,153711,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2023-05-03T00:00:00Z
2023,7,12,8,미션 임파서블: 데드 레코닝 PART ONE,40428788113,0.032,4022072,2437,137933,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트,2023-07-12T00:00:00Z
2023,8,9,9,콘크리트 유토피아,37412802232,0.03,3849242,1731,150918,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2023-08-09T00:00:00Z
2022,12,14,10,아바타: 물의 길,47350863697,0.038,3491916,2047,130411,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2022-12-14T00:00:00Z
2023,12,20,11,노량: 죽음의 바다,34030478492,0.027,3437826,2196,81643,한국,한국,"롯데컬처웍스(주)롯데엔터테인먼트,(주)에이스메이커무비웍스",2023-12-20T00:00:00Z
2023,8,15,12,오펜하이머,34375467901,0.027,3232774,1636,131798,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2023-08-15T00:00:00Z
2023,4,26,13,슈퍼 마리오 브라더스,23558835482,0.019,2395519,1576,94685,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2023-04-26T00:00:00Z
2023,10,3,14,30일,21256881514,0.017,2165358,1226,130509,한국,한국,(주)마인드마크,2023-10-03T00:00:00Z
2023,10,25,15,그대들은 어떻게 살 것인가,19540266642,0.015,2009398,1733,119191,일본,일본,메가박스중앙(주),2023-10-25T00:00:00Z
2023,4,12,16,존 윅 4,19956652129,0.016,1924768,1535,89561,미국,미국,(주)레드아이스 엔터테인먼트,2023-04-12T00:00:00Z
2023,9,27,17,천박사 퇴마 연구소: 설경의 비밀,18635492555,0.015,1916429,1511,98823,한국,한국,(주)씨제이이엔엠,2023-09-27T00:00:00Z
2022,12,21,18,영웅,17768606427,0.0139999999999999,1787536,1099,88177,한국,한국,(주)씨제이이엔엠,2022-12-21T00:00:00Z
2023,5,17,19,분노의 질주: 라이드 오어 다이,18474198210,0.015,1773424,1731,93148,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2023-05-17T00:00:00Z
2023,1,18,20,교섭,17460908740,0.0139999999999999,1721100,1289,92618,한국,한국,플러스엠 엔터테인먼트,2023-01-18T00:00:00Z
2023,2,15,21,앤트맨과 와스프: 퀀텀매니아,16346738806,0.013,1551129,2090,104768,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2023-02-15T00:00:00Z
2023,9,6,22,잠,13894258933,0.011,1470359,1231,103697,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2023-09-06T00:00:00Z
2023,8,15,23,달짝지근해: 7510,13445519901,0.011,1388309,1032,86601,한국,한국,(주)마인드마크,2023-08-15T00:00:00Z
2023,4,26,24,드림,10821044597,0.009,1128375,1285,61736,한국,한국,플러스엠 엔터테인먼트,2023-04-26T00:00:00Z
2023,8,2,25,비공식작전,10192841216,0.008,1058745,1151,45082,한국,한국,(주)쇼박스,2023-08-02T00:00:00Z
2023,9,27,26,1947 보스톤,9464164798,0.008,1026882,1282,63548,한국,한국,"롯데컬처웍스(주)롯데엔터테인먼트,(주)콘텐츠지오,주식회사 에이투지엔터테인먼트",2023-09-27T00:00:00Z
2023,6,21,27,스파이더맨: 어크로스 더 유니버스,9492413667,0.008,920169,1103,47139,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2023-06-21T00:00:00Z
2023,6,28,28,인디아나 존스: 운명의 다이얼,8504251466,0.00699999999999999,860470,1268,46174,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2023-06-28T00:00:00Z
2023,1,4,29,장화신은 고양이: 끝내주는 모험,7872245363,0.006,831209,924,43468,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2023-01-04T00:00:00Z
2023,7,20,30,명탐정코난: 흑철의 어영,7705318105,0.006,801511,1030,34473,일본,일본,(주)씨제이이엔엠,2023-07-20T00:00:00Z
2023,6,6,31,트랜스포머: 비스트의 서막,7786907316,0.006,769993,1123,45195,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트,2023-06-06T00:00:00Z
2023,3,1,32,대외비,7469378721,0.006,756355,1157,53616,한국,한국,플러스엠 엔터테인먼트,2023-03-01T00:00:00Z
2023,5,4,33,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,7262598609,0.006,732188,844,28899,일본,일본,(주)씨제이이엔엠,2023-05-04T00:00:00Z
2023,12,20,34,아쿠아맨과 로스트 킹덤,7459539772,0.006,722976,965,25387,미국,미국,워너브러더스 코리아(주),2023-12-20T00:00:00Z
2023,11,15,35,프레디의 피자가게,6959703516,0.006,712241,1041,35024,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2023-11-15T00:00:00Z
2023,4,5,36,리바운드,6702452348,0.005,699243,1154,56697,한국,한국,(주)바른손이앤에이,2023-04-05T00:00:00Z
2023,11,8,37,더 마블스,6841156465,0.005,690814,1532,66818,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2023-11-08T00:00:00Z
