연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2007,8,1,1,디워,49339934700,0.051,7855441,622,96434,한국,한국,(주)쇼박스,2007-08-01T00:00:00Z
2007,6,28,2,트랜스포머,47619379338,0.049,7389696,863,92291,미국,미국,"롯데컬처웍스(주)롯데엔터테인먼트,CJ ENM",2007-06-28T00:00:00Z
2007,7,25,3,화려한 휴가,44098449600,0.046,6855300,551,96522,한국,한국,CJ ENM,2007-07-25T00:00:00Z
2007,5,1,4,스파이더맨 3,29511658000,0.031,4592309,806,79966,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-05-01T00:00:00Z
2007,5,23,5,캐리비안의 해적: 세상의 끝에서,29133447500,0.03,4571229,953,78007,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-05-23T00:00:00Z
2007,7,11,6,해리 포터와 불사조 기사단,22899775300,0.024,3691060,768,52349,미국,미국,워너브러더스 코리아(주),2007-07-11T00:00:00Z
2007,7,17,7,다이 하드 4 : 죽어도 산다,20622308900,0.021,3176937,528,47011,미국,미국,이십세기폭스필름코퍼레이션,2007-07-17T00:00:00Z
2007,2,1,8,그놈 목소리,17598617600,0.018,2972299,498,48673,한국,한국,CJ ENM,2007-02-01T00:00:00Z
2007,11,1,9,식객,18972140500,0.02,2963196,406,67138,한국,한국,CJ ENM,2007-11-01T00:00:00Z
2007,3,14,10,300,18683698500,0.019,2929561,402,60856,미국,미국,워너브러더스 코리아(주),2007-03-14T00:00:00Z
2006,12,14,11,미녀는 괴로워,17373409400,0.018,2856615,365,50452,한국,한국,(주)쇼박스,2006-12-14T00:00:00Z
2007,6,6,12,슈렉3,17896938500,0.019,2826621,620,64615,미국,미국,CJ ENM,2007-06-06T00:00:00Z
2007,2,14,13,1번가의 기적,15494034100,0.016,2535431,340,54562,한국,한국,CJ ENM,2007-02-14T00:00:00Z
2007,12,12,14,나는 전설이다,15166253000,0.016,2322318,447,37992,미국,미국,워너브러더스 코리아(주),2007-12-12T00:00:00Z
2007,12,18,15,황금 나침반,14566840000,0.015,2297587,492,33593,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,2007-12-18T00:00:00Z
2007,10,18,16,바르게 살자,13944930000,0.0139999999999999,2135606,372,55993,한국,한국,CJ ENM,2007-10-18T00:00:00Z
2007,4,12,17,극락도 살인사건,13328932000,0.0139999999999999,2079989,368,54098,한국,한국,"(주)엠케이픽처스 ,(주)두엔터테인먼트",2007-04-12T00:00:00Z
2007,11,14,18,세븐 데이즈,13642111000,0.0139999999999999,2036035,305,46693,한국,한국,(주)프라임엔터테인먼트,2007-11-14T00:00:00Z
2007,9,19,19,사랑,13446137500,0.0139999999999999,2023174,381,54789,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2007-09-19T00:00:00Z
2007,9,12,20,본 얼티메이텀,13205549000,0.0139999999999999,1992304,332,48577,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2007-09-12T00:00:00Z
2007,11,29,21,어거스트 러쉬,12390878000,0.013,1935790,271,34247,미국,미국,"(주)영화사 그램,CJ ENM,워너브러더스 코리아(주)",2007-11-29T00:00:00Z
2006,12,21,22,박물관이 살아있다!,11057214900,0.011,1908794,338,34043,미국,미국,이십세기폭스코리아(주),2006-12-21T00:00:00Z
2007,11,8,23,"색, 계",12399090500,0.013,1888671,258,38097,미국,미국,"(주)제이앤씨미디어그룹,CJ ENM",2007-11-08T00:00:00Z
2007,2,8,24,바람피기 좋은 날,10738188900,0.011,1708973,372,39986,한국,한국,(주)시네마서비스,2007-02-08T00:00:00Z
2007,12,12,25,색즉시공 시즌2,11431876000,0.012,1703097,390,31551,한국,한국,CJ ENM,2007-12-12T00:00:00Z
2007,5,23,26,밀양,10266199000,0.011,1603799,305,41425,한국,한국,(주)시네마서비스,2007-05-23T00:00:00Z
2007,9,12,27,권순분여사 납치사건,9807862000,0.01,1514708,397,46725,한국,한국,(주)시네마서비스,2007-09-12T00:00:00Z
2007,2,14,28,복면달호,9008143000,0.009,1507970,310,41977,한국,한국,㈜스튜디오이쩜영,2007-02-14T00:00:00Z
2007,1,18,29,마파도2,8362778700,0.009,1407141,340,30784,한국,한국,CJ ENM,2007-01-18T00:00:00Z
2007,6,14,30,오션스 써틴,9119810300,0.009,1371214,271,32636,미국,미국,워너브러더스 코리아(주),2007-06-14T00:00:00Z
2007,10,18,31,궁녀,9038167500,0.009,1358883,368,42096,한국,한국,(주)시네마서비스,2007-10-18T00:00:00Z
2007,6,21,32,검은 집,8841047700,0.009,1321947,332,39830,한국,한국,CJ ENM,2007-06-21T00:00:00Z
2007,1,11,33,허브,7644307000,0.008,1302952,267,30258,한국,한국,(주)쇼박스,2007-01-11T00:00:00Z
2007,8,15,34,만남의 광장,7819284000,0.008,1211528,256,28301,한국,한국,(주)쇼박스,2007-08-15T00:00:00Z
2007,9,13,35,즐거운 인생,7872688500,0.008,1202351,322,39402,한국,한국,CJ ENM,2007-09-13T00:00:00Z
2007,12,19,36,내셔널 트레져:비밀의 책,7773860000,0.008,1201673,365,20490,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-12-19T00:00:00Z
2007,6,6,37,황진이,7763374000,0.008,1191683,456,39064,한국,한국,(주)시네마서비스,2007-06-06T00:00:00Z
2007,1,25,38,최강로맨스,6931136500,0.00699999999999999,1190703,253,26656,한국,한국,(주)쇼박스,2007-01-25T00:00:00Z
2007,5,10,39,못말리는 결혼,7712339500,0.008,1188326,299,34518,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2007-05-10T00:00:00Z
2007,3,29,40,이장과 군수,7594186000,0.008,1179661,315,35021,한국,한국,CJ ENM,2007-03-29T00:00:00Z
2007,10,3,41,행복,7737073000,0.008,1174401,332,35498,한국,한국,(주)쇼박스,2007-10-03T00:00:00Z
2007,2,28,42,그 여자 작사 그 남자 작곡,6759412500,0.00699999999999999,1063950,153,28830,미국,미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",2007-02-28T00:00:00Z
2007,8,15,43,지금 사랑하는 사람과 살고 있습니까?,7004500500,0.00699999999999999,1042923,291,26158,한국,한국,(주)시네마서비스,2007-08-15T00:00:00Z
2007,7,25,44,라따뚜이,6342436400,0.00699999999999999,1025205,261,18365,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-07-25T00:00:00Z
2007,11,14,45,베오울프,6791108000,0.00699999999999999,968535,326,29514,미국,미국,워너브러더스 코리아(주),2007-11-14T00:00:00Z
2007,3,22,46,향수 : 어느 살인자의 이야기,5843781000,0.006,967593,237,26851,영국,영국,"(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트",2007-03-22T00:00:00Z
2007,4,5,47,우아한 세계,6161685500,0.006,960658,405,35849,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2007-04-05T00:00:00Z
2007,2,8,48,김관장 대 김관장 대 김관장,5575404600,0.006,925661,355,27825,한국,한국,(주)쇼박스,2007-02-08T00:00:00Z
2007,1,11,49,에라곤,5359051500,0.006,915232,276,24405,미국,미국,이십세기폭스필름코퍼레이션,2007-01-11T00:00:00Z
2007,9,6,50,마이 파더,5641848000,0.006,901055,342,31444,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2007-09-06T00:00:00Z
2006,12,28,51,조폭마누라3,5460173000,0.006,899685,349,20279,한국,"한국,홍콩",(주)쇼박스,2006-12-28T00:00:00Z
2007,1,25,52,황후화,5646046700,0.006,897639,256,21528,홍콩,홍콩,"(주)시네마서비스,CJ ENM",2007-01-25T00:00:00Z
2007,9,19,53,상사부일체,5807823500,0.006,883965,313,28902,한국,한국,이십세기폭스코리아(주),2007-09-19T00:00:00Z
2007,8,15,54,스타더스트,5504267500,0.006,847766,177,17596,미국,미국,CJ ENM,2007-08-15T00:00:00Z
2007,12,18,55,내 사랑,5227269000,0.005,800568,240,15522,한국,한국,(주)쇼박스,2007-12-18T00:00:00Z
2007,10,3,56,러시 아워 3,4952254000,0.005,780794,262,32911,미국,미국,CJ ENM,2007-10-03T00:00:00Z
2007,1,11,57,데자뷰,4758055500,0.005,777521,201,16882,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-01-11T00:00:00Z
2007,2,22,58,드림걸즈,4502954800,0.005,716400,132,14701,미국,미국,"(주)영화사오원,CJ ENM",2007-02-22T00:00:00Z
2007,9,13,59,두 얼굴의 여친,4586849000,0.005,700417,382,28772,한국,한국,(주)쇼박스,2007-09-13T00:00:00Z
2007,4,19,60,리핑 10개의 재앙,4225944500,0.004,656652,150,20928,미국,미국,워너브러더스 코리아(주),2007-04-19T00:00:00Z
NA,NA,NA,61,로보트 태권V(76년 디지털 복원판),3591015500,0.004,651207,218,15501,한국,한국,NA,NA
2007,8,1,62,기담,4115819500,0.004,642330,195,14675,한국,한국,"(주)영화사오원,㈜스튜디오이쩜영",2007-08-01T00:00:00Z
2007,8,8,63,리턴,4271290500,0.004,641734,235,15185,한국,한국,CJ ENM,2007-08-08T00:00:00Z
2007,2,28,64,행복을 찾아서,3645625500,0.004,591571,155,17089,미국,미국,"(주)팝엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜",2007-02-28T00:00:00Z
2007,8,8,65,판타스틱 4: 실버 서퍼의 위협,3682710500,0.004,576690,307,17449,미국,미국,이십세기폭스필름코퍼레이션,2007-08-08T00:00:00Z
2007,8,30,66,디스터비아,3790837500,0.004,576120,167,15779,미국,미국,CJ ENM,2007-08-30T00:00:00Z
2007,7,11,67,해부학 교실,3627352500,0.004,574302,232,16774,한국,한국,영화사청어람(주),2007-07-11T00:00:00Z
2007,3,8,68,일루셔니스트,3453406800,0.004,567729,226,23185,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,2007-03-08T00:00:00Z
