연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2017,8,2,1,택시운전사,95853645649,0.055,12186327,1906,184075,한국,한국,(주)쇼박스,2017-08-02T00:00:00Z
2017,12,20,2,신과함께-죄와 벌,68350496432,0.039,8539495,1912,91301,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20T00:00:00Z
2017,1,18,3,공조,63783051326,0.036,7817618,1392,142989,한국,한국,(주)씨제이이엔엠,2017-01-18T00:00:00Z
2017,7,5,4,스파이더맨: 홈 커밍,59125813820,0.034,7258678,1965,164448,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05T00:00:00Z
2017,10,3,5,범죄도시,56318014149,0.032,6879841,1315,149334,한국,한국,"플러스엠 엔터테인먼트,(주)키위미디어그룹",2017-10-03T00:00:00Z
2017,7,26,6,군함도,50510565168,0.0289999999999999,6592151,2027,108775,한국,한국,(주)씨제이이엔엠,2017-07-26T00:00:00Z
2017,8,9,7,청년경찰,44381150516,0.025,5653270,1102,118544,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2017-08-09T00:00:00Z
2017,1,18,8,더 킹,43488814535,0.025,5317693,1310,107983,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2017-01-18T00:00:00Z
2017,3,16,9,미녀와 야수,42133751579,0.024,5138328,1627,140561,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2017-03-16T00:00:00Z
2017,9,27,10,킹스맨: 골든 서클,40987484736,0.023,4945484,1687,95922,미국,"미국,영국",이십세기폭스코리아(주),2017-09-27T00:00:00Z
2017,10,25,11,토르: 라그나로크,39227691395,0.022,4853778,1640,137423,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2017-10-25T00:00:00Z
2017,11,22,12,꾼,31312029795,0.018,4018035,1314,117398,한국,한국,(주)쇼박스,2017-11-22T00:00:00Z
2017,12,14,13,강철비,31994897566,0.018,4014293,1426,66760,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2017-12-14T00:00:00Z
2017,10,3,14,남한산성,31225083792,0.018,3849087,1229,71101,한국,한국,(주)씨제이이엔엠,2017-10-03T00:00:00Z
2017,6,6,15,미이라,30504689978,0.017,3689325,1257,105228,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2017-06-06T00:00:00Z
2017,4,12,16,분노의 질주: 더 익스트림,29981156348,0.017,3653238,1469,113241,미국,"미국,일본,프랑스,캐나다",유니버설픽쳐스인터내셔널 코리아(유),2017-04-12T00:00:00Z
2017,1,4,17,너의 이름은.,29251793156,0.017,3637608,947,82978,일본,일본,플러스엠 엔터테인먼트,2017-01-04T00:00:00Z
2017,7,26,18,슈퍼배드 3,24217091019,0.0139999999999999,3324874,1057,59388,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2017-07-26T00:00:00Z
2017,9,21,19,아이 캔 스피크,25526451186,0.015,3279296,1140,93012,한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",2017-09-21T00:00:00Z
2017,5,24,20,캐리비안의 해적: 죽은 자는 말이 없다,24975495122,0.0139999999999999,3049894,1357,85225,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2017-05-24T00:00:00Z
2017,3,23,21,프리즌,23790276987,0.0139999999999999,2931897,1047,89024,한국,한국,(주)쇼박스,2017-03-23T00:00:00Z
2017,7,20,22,덩케르크,24550541348,0.0139999999999999,2788732,1252,65906,미국,"미국,영국",워너브러더스 코리아(주),2017-07-20T00:00:00Z
2017,5,3,23,가디언즈 오브 갤럭시 VOL. 2,23452686686,0.013,2735721,1218,63789,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2017-05-03T00:00:00Z
2017,9,6,24,살인자의 기억법,21375287492,0.012,2658589,1064,88686,한국,한국,(주)쇼박스,2017-09-06T00:00:00Z
2017,6,21,25,트랜스포머: 최후의 기사,21501959228,0.012,2614601,1739,87234,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,2017-06-21T00:00:00Z
2017,5,3,26,보안관,20844488409,0.012,2588628,1091,63709,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2017-05-03T00:00:00Z
2017,2,9,27,조작된 도시,20143992587,0.011,2515501,1019,62241,한국,한국,(주)씨제이이엔엠,2017-02-09T00:00:00Z
2017,5,3,28,보스 베이비,18936306704,0.011,2452245,1116,48379,미국,미국,(주)씨제이이엔엠,2017-05-03T00:00:00Z
2017,2,15,29,재심,19266319637,0.011,2421197,935,68402,한국,한국,"오퍼스픽쳐스(유),CGV아트하우스",2017-02-15T00:00:00Z
2017,6,28,30,박열,18093639795,0.01,2359206,1176,78499,한국,한국,플러스엠 엔터테인먼트,2017-06-28T00:00:00Z
2017,1,12,31,모아나,18056417307,0.01,2310206,953,53162,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2017-01-12T00:00:00Z
2016,12,21,32,마스터,18283595800,0.01,2215266,1245,56141,한국,한국,(주)씨제이이엔엠,2016-12-21T00:00:00Z
2017,3,1,33,로건,18391060223,0.01,2169109,954,68709,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2017-03-01T00:00:00Z
2017,5,31,34,원더 우먼,17468588886,0.01,2165401,1034,57818,미국,미국,워너브러더스 코리아(주),2017-05-31T00:00:00Z
2017,5,17,35,겟 아웃,17431830075,0.01,2138174,945,56530,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2017-05-17T00:00:00Z
2017,8,15,36,혹성탈출: 종의 전쟁,16854482778,0.01,2051315,1017,44543,미국,미국,이십세기폭스코리아(주),2017-08-15T00:00:00Z
2017,12,27,37,1987,15254004037,0.009,1942077,1299,27619,한국,한국,(주)씨제이이엔엠,2017-12-27T00:00:00Z
2017,8,10,38,애나벨 : 인형의 주인,15527492238,0.009,1934270,1006,35103,미국,미국,워너브러더스 코리아(주),2017-08-10T00:00:00Z
2017,5,25,39,노무현입니다,14556517612,0.008,1855149,775,61327,한국,한국,"CGV아트하우스,영화사 풀",2017-05-25T00:00:00Z
2017,11,15,40,저스티스 리그,14629677795,0.008,1786383,1308,73390,미국,미국,워너브러더스 코리아(주),2017-11-15T00:00:00Z
2017,8,30,41,킬러의 보디가드,14020395800,0.008,1721757,482,42002,미국,미국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2017-08-30T00:00:00Z
2017,3,8,42,콩: 스컬 아일랜드,13990563383,0.008,1689717,984,56425,미국,미국,워너브러더스 코리아(주),2017-03-08T00:00:00Z
2017,2,22,43,23 아이덴티티,13609648135,0.008,1675819,952,44104,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2017-02-22T00:00:00Z
2017,4,26,44,임금님의 사건수첩,12651193723,0.00699999999999999,1635003,1054,53005,한국,한국,(주)씨제이이엔엠,2017-04-26T00:00:00Z
2017,11,2,45,부라더,11783109998,0.00699999999999999,1492903,889,54975,한국,한국,플러스엠 엔터테인먼트,2017-11-02T00:00:00Z
2017,11,29,46,기억의 밤,10646654660,0.006,1386611,759,52847,한국,한국,"플러스엠 엔터테인먼트,주식회사 키위컴퍼니",2017-11-29T00:00:00Z
2017,11,8,47,해피 데스데이,11004455402,0.006,1382650,714,52101,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2017-11-08T00:00:00Z
2017,8,23,48,브이아이피,10956621835,0.006,1373316,996,44650,한국,한국,워너브러더스 코리아(주),2017-08-23T00:00:00Z
2017,4,26,49,특별시민,10494768945,0.006,1362634,1154,46377,한국,한국,(주)쇼박스,2017-04-26T00:00:00Z
2017,5,9,50,에이리언: 커버넌트,10745826264,0.006,1307226,841,41761,미국,"미국,호주,뉴질랜드",이십세기폭스코리아(주),2017-05-09T00:00:00Z
2017,8,17,51,장산범,10341783083,0.006,1306438,711,34768,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2017-08-17T00:00:00Z
2017,6,8,52,악녀,9739662144,0.006,1208081,685,46070,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2017-06-08T00:00:00Z
2017,3,1,53,해빙,9905406822,0.006,1204600,915,46227,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2017-03-01T00:00:00Z
2016,12,7,54,라라랜드,9822110162,0.006,1185287,590,37450,미국,미국,판씨네마(주),2016-12-07T00:00:00Z
2017,6,15,55,하루,9072737842,0.005,1129609,781,45808,한국,한국,CGV아트하우스,2017-06-15T00:00:00Z
2017,10,19,56,지오스톰,8480864614,0.005,1028384,854,35453,미국,미국,워너브러더스 코리아(주),2017-10-19T00:00:00Z
2017,12,14,57,스타워즈: 라스트 제다이,8535886061,0.005,946547,1107,30914,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2017-12-14T00:00:00Z
2017,5,17,58,불한당: 나쁜 놈들의 세상,7587004625,0.004,939535,860,37913,한국,한국,(주)씨제이이엔엠,2017-05-17T00:00:00Z
2017,9,6,59,그것,7335022607,0.004,888836,837,35430,미국,미국,워너브러더스 코리아(주),2017-09-06T00:00:00Z
2017,11,29,60,오리엔트 특급 살인,6636205163,0.004,863567,707,35031,미국,미국,이십세기폭스코리아(주),2017-11-29T00:00:00Z
2017,5,31,61,대립군,6276963402,0.004,837500,809,29084,한국,한국,이십세기폭스코리아(주),2017-05-31T00:00:00Z
2017,9,14,62,베이비 드라이버,6699906214,0.004,822769,778,40531,영국,영국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-09-14T00:00:00Z
2017,12,20,63,위대한 쇼맨,6657027200,0.004,814585,702,20306,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2017-12-20T00:00:00Z
2017,12,7,64,뽀로로 극장판 공룡섬 대모험,5848888600,0.003,773743,803,18226,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2017-12-07T00:00:00Z
2017,1,25,65,레지던트 이블: 파멸의 날,6422202365,0.004,765259,599,24450,미국,"미국,독일,호주,캐나다,프랑스",유니버설픽쳐스인터내셔널 코리아(유),2017-01-25T00:00:00Z
2017,3,29,66,공각기동대 : 고스트 인 더 쉘,6285970884,0.004,764072,807,36261,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,2017-03-29T00:00:00Z
2017,2,16,67,트롤,5011161500,0.003,675966,622,18387,미국,미국,(주)씨제이이엔엠,2017-02-16T00:00:00Z
2017,1,4,68,패신저스,5467466918,0.003,668576,608,21517,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2017-01-04T00:00:00Z
2016,12,21,69,씽,5062317800,0.003,667598,721,17191,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2016-12-21T00:00:00Z
2017,4,12,70,아빠는 딸,5054757395,0.003,647305,586,33263,한국,한국,플러스엠 엔터테인먼트,2017-04-12T00:00:00Z
2017,2,2,71,컨택트,5214551521,0.003,634150,605,22770,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2017-02-02T00:00:00Z
2017,7,19,72,47 미터,4686079657,0.003,590045,733,20457,영국,영국,(주)키다리이엔티,2017-07-19T00:00:00Z
2017,12,7,73,메리와 마녀의 꽃,4064280239,0.002,535331,751,21383,일본,일본,CGV아트하우스,2017-12-07T00:00:00Z
2017,1,11,74,얼라이드,4278041179,0.002,518886,546,19875,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,2017-01-11T00:00:00Z
2017,8,30,75,발레리안: 천 개 행성의 도시,4047756408,0.002,511931,629,23405,프랑스,프랑스,판씨네마(주),2017-08-30T00:00:00Z
2017,2,15,76,그레이트 월,4355441358,0.002,501486,598,23094,미국,"미국,중국",유니버설픽쳐스인터내셔널 코리아(유),2017-02-15T00:00:00Z
2017,11,2,77,침묵,3930219264,0.002,494097,634,23228,한국,한국,(주)씨제이이엔엠,2017-11-02T00:00:00Z
2017,7,13,78,카3: 새로운 도전,3599544501,0.002,487916,800,14906,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2017-07-13T00:00:00Z
2017,2,8,79,트리플 엑스 리턴즈,3967335095,0.002,475309,590,20692,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,2017-02-08T00:00:00Z
2017,6,28,80,리얼,3357312530,0.002,470105,970,25139,한국,한국,(주)씨제이이엔엠,2017-06-28T00:00:00Z
2017,10,25,81,너의 췌장을 먹고 싶어,3703660800,0.002,465265,218,16849,일본,일본,(주)넥스트엔터테인먼트월드(NEW),2017-10-25T00:00:00Z
2017,4,5,82,라이프,3791748210,0.002,459984,647,27762,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-04-05T00:00:00Z
2017,8,2,83,명탐정 코난:진홍의 연가,3268917200,0.002,450043,582,9763,일본,일본,(주)씨제이이엔엠,2017-08-02T00:00:00Z
2017,3,23,84,히든 피겨스,3580767033,0.002,449518,448,19742,미국,미국,이십세기폭스코리아(주),2017-03-23T00:00:00Z
2017,11,29,85,반드시 잡는다,3326439772,0.002,446780,565,24559,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2017-11-29T00:00:00Z
2017,3,29,86,원라인,3319035433,0.002,435048,613,20788,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2017-03-29T00:00:00Z
2017,1,18,87,터닝메카드W: 블랙미러의 부활,3215588500,0.002,429933,570,14146,한국,한국,(주)키다리이엔티,2017-01-18T00:00:00Z
2017,4,28,88,스머프: 비밀의 숲,3122661000,0.002,427764,607,10658,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-04-28T00:00:00Z
2016,12,28,89,로그 원: 스타워즈 스토리,3920458500,0.002,422822,810,17226,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2016-12-28T00:00:00Z
2017,5,17,90,킹 아서: 제왕의 검,3373678655,0.002,415714,588,20315,영국,"영국,호주,미국",워너브러더스 코리아(주),2017-05-17T00:00:00Z
2017,12,21,91,극장판 포켓몬스터 너로 정했다!,3117529700,0.002,415255,626,7796,일본,일본,(주)이수C&E,2017-12-21T00:00:00Z
2017,10,3,92,넛잡 2,3069388100,0.002,411787,526,10449,한국,"한국,캐나다,중국",롯데쇼핑㈜롯데엔터테인먼트,2017-10-03T00:00:00Z
2017,9,14,93,아메리칸 메이드,3175539145,0.002,401541,691,26356,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2017-09-14T00:00:00Z
2017,11,9,94,러빙 빈센트,3061456861,0.002,384540,272,14651,영국,"영국,폴란드","(주)스튜디오디에이치엘,판씨네마(주)",2017-11-09T00:00:00Z
2017,3,23,95,보통사람,2956397623,0.002,383336,621,19928,한국,한국,오퍼스픽쳐스(유),2017-03-23T00:00:00Z
2017,10,19,96,대장 김창수,2879121115,0.002,381483,748,21744,한국,한국,"(주)키다리이엔티,주식회사 키위컴퍼니",2017-10-19T00:00:00Z
2017,1,4,97,눈의 여왕 3: 눈과 불의 마법대결,2694247700,0.002,366442,526,10639,러시아,러시아,(주)이수C&E,2017-01-04T00:00:00Z
2017,1,11,98,어쌔신 크리드,2899784921,0.002,355913,566,16218,미국,"미국,영국,프랑스",이십세기폭스코리아(주),2017-01-11T00:00:00Z
2017,7,12,99,플립,2828867900,0.002,355617,249,13177,미국,미국,(주)팝엔터테인먼트,2017-07-12T00:00:00Z
2017,5,9,100,석조저택 살인사건,2829106886,0.002,353517,539,17925,한국,한국,(주)키다리이엔티,2017-05-09T00:00:00Z
