연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2021,12,15,1,스파이더맨: 노 웨이 홈,55697413760,0.095,5560940,2948,144754,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-12-15T00:00:00Z
2021,7,28,2,모가디슈,34558297730,0.059,3613984,1688,210740,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2021-07-28T00:00:00Z
2021,11,3,3,이터널스,31729284450,0.054,3050132,2648,162435,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2021-11-03T00:00:00Z
2021,7,7,4,블랙 위도우,29996075620,0.051,2962088,2528,155016,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2021-07-07T00:00:00Z
2021,5,19,5,분노의 질주: 더 얼티메이트,22059658060,0.038,2292415,2297,131856,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2021-05-19T00:00:00Z
2021,8,11,6,싱크홀,21395652690,0.037,2195683,1603,121841,한국,한국,(주)쇼박스,2021-08-11T00:00:00Z
2021,1,27,7,극장판 귀멸의 칼날: 무한열차편,20656041700,0.035,2151861,900,151898,일본,일본,워터홀컴퍼니(주),2021-01-27T00:00:00Z
2021,10,13,8,베놈 2: 렛 데어 비 카니지,21115762990,0.036,2123573,1998,151687,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-10-13T00:00:00Z
2021,1,20,9,소울,19034915180,0.033,2048228,2018,160728,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2021-01-20T00:00:00Z
2021,5,26,10,크루엘라,19252879640,0.033,1983397,1186,122643,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2021-05-26T00:00:00Z
2021,9,1,11,샹치와 텐 링즈의 전설,17715109720,0.03,1740868,1784,117475,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2021-09-01T00:00:00Z
2021,8,18,12,인질,15585244870,0.027,1638439,1294,110424,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2021-08-18T00:00:00Z
2021,10,20,13,듄,16903293110,0.0289999999999999,1549346,1576,103745,미국,미국,워너브러더스 코리아(주),2021-10-20T00:00:00Z
2021,9,15,14,보이스,14025546720,0.024,1426357,1296,118227,한국,한국,(주)씨제이이엔엠,2021-09-15T00:00:00Z
2021,9,29,15,007 노 타임 투 다이,12009884680,0.021,1229971,2201,98167,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2021-09-29T00:00:00Z
2021,3,3,16,미나리,10211664650,0.017,1134177,1162,112903,미국,미국,판씨네마(주),2021-03-03T00:00:00Z
2021,6,23,17,발신제한,9102830540,0.016,955808,1010,71157,한국,한국,(주)씨제이이엔엠,2021-06-23T00:00:00Z
2021,7,21,18,보스 베이비 2,8292685050,0.0139999999999999,925238,1343,58566,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2021-07-21T00:00:00Z
2021,6,16,19,콰이어트 플레이스 2,8550116360,0.015,863339,1137,62891,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트,2021-06-16T00:00:00Z
2021,7,14,20,랑종,8639576030,0.015,834338,1403,51793,한국,한국,(주)쇼박스,2021-07-14T00:00:00Z
2021,11,24,21,유체이탈자,7899580790,0.0139999999999999,811169,1216,83847,한국,한국,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",2021-11-24T00:00:00Z
2021,6,3,22,컨저링3: 악마가 시켰다,8026047360,0.0139999999999999,799457,1133,51745,미국,미국,워너브러더스 코리아(주),2021-06-03T00:00:00Z
2021,9,15,23,기적,6634949710,0.011,715877,1198,78592,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2021-09-15T00:00:00Z
2021,3,25,24,고질라 VS. 콩,6772634130,0.012,703485,1295,62374,미국,미국,워너브러더스 코리아(주),2021-03-25T00:00:00Z
2021,12,22,25,킹스맨: 퍼스트 에이전트,6154017260,0.011,622461,1061,26294,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2021-12-22T00:00:00Z
