연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2014,7,30,1,명량,135748398910,0.0819999999999999,17613682,1587,188611,한국,한국,(주)씨제이이엔엠,2014-07-30T00:00:00Z
2014,1,16,2,겨울왕국,82461504400,0.05,10296101,1010,157683,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",2014-01-16T00:00:00Z
2014,11,6,3,인터스텔라,80671424300,0.048,10105247,1410,166218,미국,"미국,영국",워너브러더스 코리아(주),2014-11-06T00:00:00Z
2014,8,6,4,해적: 바다로 간 산적,66370682706,0.04,8666046,910,133350,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06T00:00:00Z
2014,1,22,5,수상한 그녀,62705348249,0.038,8657982,1027,136975,한국,한국,(주)씨제이이엔엠,2014-01-22T00:00:00Z
2013,12,18,6,변호인,41918383800,0.025,5687571,925,97261,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2013-12-18T00:00:00Z
2014,12,17,7,국제시장,41089567596,0.025,5345677,966,63603,한국,한국,(주)씨제이이엔엠,2014-12-17T00:00:00Z
2014,6,25,8,트랜스포머: 사라진 시대,44012752845,0.026,5295836,1602,107875,미국,미국,(주)씨제이이엔엠,2014-06-25T00:00:00Z
2014,7,23,9,군도: 민란의 시대,36988022499,0.022,4774931,1394,67237,한국,한국,(주)쇼박스,2014-07-23T00:00:00Z
2014,6,4,10,엣지 오브 투모로우,38732961201,0.023,4699307,801,94559,미국,미국,워너브러더스 코리아(주),2014-06-04T00:00:00Z
2014,5,22,11,엑스맨: 데이즈 오브 퓨처 패스트,34654558766,0.021,4313871,1056,82722,미국,미국,이십세기폭스코리아(주),2014-05-22T00:00:00Z
2014,4,23,12,어메이징 스파이더맨 2,34869101800,0.021,4168353,1312,91715,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-04-23T00:00:00Z
2014,9,3,13,타짜-신의 손,32373120927,0.019,4015361,890,80584,한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",2014-09-03T00:00:00Z
2014,7,10,14,혹성탈출: 반격의 서막,31514053095,0.019,4002560,956,72881,미국,미국,이십세기폭스코리아(주),2014-07-10T00:00:00Z
2014,3,26,15,캡틴 아메리카: 윈터 솔져,31711040385,0.019,3963251,1106,110109,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",2014-03-26T00:00:00Z
2014,4,30,16,역린,29894266890,0.018,3849552,1054,83296,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2014-04-30T00:00:00Z
2014,11,27,17,"님아, 그 강을 건너지 마오",29845829479,0.018,3846378,806,67170,한국,한국,"CGV아트하우스,(주)대명문화공장",2014-11-27T00:00:00Z
