연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2009,12,17,1,아바타,81455728000,0.07,8151952,714,111860,미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",2009-12-17T00:00:00Z
2010,8,4,2,아저씨,47101332000,0.0409999999999999,6178248,501,109853,한국,한국,CJ ENM,2010-08-04T00:00:00Z
2010,7,21,3,인셉션,43394990000,0.037,5827444,531,81891,미국,미국,"(주)디스테이션,워너브러더스 코리아(주)",2010-07-21T00:00:00Z
2010,2,4,4,의형제,40153729000,0.035,5416812,569,118243,한국,한국,(주)쇼박스,2010-02-04T00:00:00Z
2010,4,29,5,아이언맨 2,32635195500,0.0279999999999999,4425003,921,87665,미국,미국,CJ ENM,2010-04-29T00:00:00Z
2009,12,23,6,전우치,26345113000,0.023,3611472,556,73175,한국,한국,CJ ENM,2009-12-23T00:00:00Z
2010,7,14,7,이끼,25437300500,0.022,3350303,740,58198,한국,한국,CJ ENM,2010-07-14T00:00:00Z
2010,6,16,8,포화속으로,23831958600,0.021,3330324,742,80091,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2010-06-16T00:00:00Z
2010,1,28,9,하모니,21641750000,0.019,3018131,384,77723,한국,한국,CJ ENM,2010-01-28T00:00:00Z
2010,6,2,10,방자전,22490024000,0.019,2985483,495,67562,한국,한국,CJ ENM,2010-06-02T00:00:00Z
2010,7,29,11,솔트,21360288000,0.018,2869938,556,53679,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-07-29T00:00:00Z
2010,10,28,12,부당거래,20996302500,0.018,2722996,502,69703,한국,한국,CJ ENM,2010-10-28T00:00:00Z
2010,9,16,13,시라노; 연애조작단,19838369000,0.017,2684783,415,77736,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2010-09-16T00:00:00Z
2010,4,1,14,타이탄,21796996500,0.019,2642483,694,87911,미국,미국,워너브러더스 코리아(주),2010-04-01T00:00:00Z
2010,5,20,15,드래곤 길들이기,27040606000,0.023,2562412,563,57264,미국,미국,"유니버설픽쳐스인터내셔널 코리아(유),CJ ENM",2010-05-20T00:00:00Z
2010,12,15,16,해리 포터와 죽음의 성물1,16974636000,0.015,2396988,717,40463,미국,미국,워너브러더스 코리아(주),2010-12-15T00:00:00Z
2010,5,13,17,하녀,17038639000,0.015,2267556,555,59621,한국,한국,(주)싸이더스,2010-05-13T00:00:00Z
2010,6,24,18,나잇&데이,16777869600,0.0139999999999999,2243484,494,54797,미국,미국,이십세기폭스코리아(주),2010-06-24T00:00:00Z
2010,7,1,19,슈렉 포에버,22809145100,0.02,2223851,561,51317,미국,미국,CJ ENM,2010-07-01T00:00:00Z
2010,3,4,20,이상한 나라의 앨리스,20334399500,0.018,2147012,397,58393,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-03-04T00:00:00Z
2010,11,10,21,초능력자,15374489000,0.013,2130606,612,58000,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2010-11-10T00:00:00Z
2010,7,7,22,이클립스,14945720000,0.013,2069246,535,46355,미국,미국,(주)넥스트엔터테인먼트월드(NEW),2010-07-07T00:00:00Z
