연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2009,7,22,1,해운대,81025004000,0.075,11324433,764,154277,한국,한국,CJ ENM,2009-07-22T00:00:00Z
2009,7,29,2,국가대표,57570773000,0.053,8035181,570,131671,한국,한국,(주)쇼박스,2009-07-29T00:00:00Z
2009,6,24,3,트랜스포머: 패자의 역습,50697608000,0.047,7392990,1154,115137,미국,미국,CJ ENM,2009-06-24T00:00:00Z
2009,11,12,4,2012,38886883500,0.036,5390201,856,88814,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-11-12T00:00:00Z
2009,12,17,5,아바타,43441164500,0.04,5150667,917,50642,미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",2009-12-17T00:00:00Z
2009,5,21,6,터미네이터 : 미래전쟁의 시작,29690943500,0.027,4499776,702,93745,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,2009-05-21T00:00:00Z
2009,4,22,7,7급 공무원,26380710000,0.024,4039891,475,90779,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2009-04-22T00:00:00Z
2008,12,3,8,과속스캔들,25293891900,0.023,3861757,371,83259,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2008-12-03T00:00:00Z
2008,12,30,9,쌍화점,22493822400,0.021,3296474,532,67144,한국,한국,(주)쇼박스,2008-12-30T00:00:00Z
2009,6,11,10,거북이 달린다,20618276000,0.019,3024666,432,69946,한국,한국,(주)쇼박스,2009-06-11T00:00:00Z
2009,5,28,11,마더,19967362500,0.018,2979213,642,71401,한국,한국,CJ ENM,2009-05-28T00:00:00Z
2009,7,15,12,해리 포터와 혼혈 왕자,20267293000,0.019,2957706,751,48112,미국,미국,워너브러더스 코리아(주),2009-07-15T00:00:00Z
2009,1,15,13,워낭소리,19074728900,0.018,2933897,274,63196,한국,한국,㈜인디스토리,2009-01-15T00:00:00Z
2009,1,22,14,적벽대전 2 : 최후의 결전,17782372500,0.016,2694436,426,45952,중국,중국,(주)쇼박스,2009-01-22T00:00:00Z
