연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2018,8,1,1,신과함께-인과 연,102666146909,0.057,12274996,2235,179981,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01T00:00:00Z
2018,4,25,2,어벤져스: 인피니티 워,99926399769,0.055,11212710,2553,240501,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25T00:00:00Z
2018,10,31,3,보헤미안 랩소디,80010440345,0.044,9224582,1179,204537,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2018-10-31T00:00:00Z
2018,7,25,4,미션 임파서블: 폴아웃,55888375112,0.031,6584915,1957,101374,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트,2018-07-25T00:00:00Z
2017,12,20,5,신과함께-죄와 벌,47355583705,0.026,5872007,1644,121961,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20T00:00:00Z
2018,6,6,6,쥬라기 월드: 폴른 킹덤,49770711037,0.027,5661128,1972,144779,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2018-06-06T00:00:00Z
2018,7,4,7,앤트맨과 와스프,47468053685,0.026,5448134,1775,148244,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2018-07-04T00:00:00Z
2018,9,19,8,안시성,46335334026,0.026,5440186,1540,110439,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2018-09-19T00:00:00Z
2018,2,14,9,블랙 팬서,45885123957,0.025,5399227,1620,119170,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2018-02-14T00:00:00Z
2018,10,31,10,완벽한 타인,44350807074,0.024,5293435,1325,143055,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2018-10-31T00:00:00Z
2017,12,27,11,1987,42915772108,0.024,5290310,1122,110607,한국,한국,(주)씨제이이엔엠,2017-12-27T00:00:00Z
2018,5,22,12,독전,43485551113,0.024,5063684,1532,140007,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2018-05-22T00:00:00Z
2018,8,8,13,공작,42788851176,0.024,4974520,1317,99001,한국,한국,(주)씨제이이엔엠,2018-08-08T00:00:00Z
2018,10,3,14,베놈,34100211207,0.019,3888096,1308,116149,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-10-03T00:00:00Z
2018,10,3,15,암수살인,32995138548,0.018,3789321,1177,126127,한국,한국,(주)쇼박스,2018-10-03T00:00:00Z
2018,5,16,16,데드풀 2,34185664639,0.019,3784602,1576,113288,미국,미국,이십세기폭스코리아(주),2018-05-16T00:00:00Z
2018,11,28,17,국가부도의 날,30845862137,0.017,3747952,1180,100804,한국,한국,(주)씨제이이엔엠,2018-11-28T00:00:00Z
2018,1,11,18,코코,27685479440,0.015,3510017,1177,85925,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2018-01-11T00:00:00Z
2018,12,19,19,아쿠아맨,30454292381,0.017,3491857,1285,54505,미국,"미국,호주",워너브러더스 코리아(주),2018-12-19T00:00:00Z
2018,1,17,20,그것만이 내 세상,27450805382,0.015,3419339,956,95431,한국,한국,(주)씨제이이엔엠,2018-01-17T00:00:00Z
2018,6,27,21,마녀,27242029463,0.015,3189091,1117,90843,한국,한국,워너브러더스 코리아(주),2018-06-27T00:00:00Z
2018,6,13,22,탐정: 리턴즈,26909459678,0.015,3152872,1137,107907,한국,한국,(주)씨제이이엔엠,2018-06-13T00:00:00Z
2018,7,18,23,인크레더블 2,24554683588,0.0139999999999999,3033052,1605,70934,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2018-07-18T00:00:00Z
2018,8,29,24,서치,25283364845,0.0139999999999999,2949944,1097,95758,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-08-29T00:00:00Z
2018,8,22,25,너의 결혼식,23676244369,0.013,2820969,970,98193,한국,한국,플러스엠 엔터테인먼트,2018-08-22T00:00:00Z
2018,3,28,26,곤지암,21442194144,0.012,2675575,1124,88477,한국,한국,(주)쇼박스,2018-03-28T00:00:00Z
2018,3,14,27,지금 만나러 갑니다,20800916128,0.011,2602273,1191,97482,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2018-03-14T00:00:00Z
2018,8,15,28,목격자,21737061097,0.012,2524720,1021,71403,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2018-08-15T00:00:00Z
2018,2,8,29,조선명탐정: 흡혈괴마의 비밀,19822789764,0.011,2444136,1249,74953,한국,한국,(주)쇼박스,2018-02-08T00:00:00Z
2018,11,14,30,신비한 동물들과 그린델왈드의 범죄,20816583118,0.011,2414062,1601,76846,미국,미국,워너브러더스 코리아(주),2018-11-14T00:00:00Z
2018,1,17,31,메이즈 러너: 데스 큐어,18902873104,0.01,2299732,1090,58918,미국,미국,이십세기폭스코리아(주),2018-01-17T00:00:00Z
2018,8,8,32,맘마미아!2,19607520003,0.011,2293884,750,59060,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2018-08-08T00:00:00Z
2018,3,28,33,레디 플레이어 원,19933108071,0.011,2254430,1079,77173,미국,미국,워너브러더스 코리아(주),2018-03-28T00:00:00Z
2018,9,19,34,명당,17900775524,0.01,2087474,1117,58450,한국,한국,플러스엠 엔터테인먼트,2018-09-19T00:00:00Z
2018,9,19,35,협상,17032133166,0.009,1967721,919,57926,한국,한국,(주)씨제이이엔엠,2018-09-19T00:00:00Z
2018,12,19,36,마약왕,15784724552,0.009,1813594,1297,41658,한국,한국,(주)쇼박스,2018-12-19T00:00:00Z
2018,1,3,37,쥬만지: 새로운 세계,13814824864,0.008,1708672,791,41806,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-01-03T00:00:00Z
2018,10,25,38,창궐,13275772490,0.00699999999999999,1599290,1351,60687,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2018-10-25T00:00:00Z
2018,11,22,39,성난황소,13236490737,0.00699999999999999,1593386,1010,48932,한국,한국,(주)쇼박스,2018-11-22T00:00:00Z
2018,12,5,40,도어락,12792097886,0.00699999999999999,1559616,954,53732,한국,한국,플러스엠 엔터테인먼트,2018-12-05T00:00:00Z
2018,2,28,41,리틀 포레스트,11929202185,0.00699999999999999,1506269,884,68414,한국,한국,플러스엠 엔터테인먼트,2018-02-28T00:00:00Z
2018,2,14,42,골든슬럼버,11412768798,0.006,1387508,833,42991,한국,한국,(주)씨제이이엔엠,2018-02-14T00:00:00Z
2018,4,12,43,램페이지,11951980109,0.00699999999999999,1385511,909,55295,미국,미국,워너브러더스 코리아(주),2018-04-12T00:00:00Z
2018,2,28,44,궁합,10478875438,0.006,1340117,966,52427,한국,한국,(주)씨제이이엔엠,2018-02-28T00:00:00Z
2018,6,13,45,오션스8,11700157266,0.006,1335829,837,55372,미국,미국,워너브러더스 코리아(주),2018-06-13T00:00:00Z
2018,3,7,46,사라진 밤,10697981316,0.006,1315726,925,60087,한국,한국,(주)키다리이엔티,2018-03-07T00:00:00Z
2018,12,19,47,스윙키즈,10308565602,0.006,1258811,984,32237,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2018-12-19T00:00:00Z
2018,4,5,48,바람 바람 바람,9784385375,0.005,1194229,985,57939,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2018-04-05T00:00:00Z
2018,12,26,49,PMC: 더 벙커,9704247367,0.005,1179031,1081,26690,한국,한국,(주)씨제이이엔엠,2018-12-26T00:00:00Z
2018,12,25,50,범블비,9756083752,0.005,1167150,1016,26260,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트,2018-12-25T00:00:00Z
2018,5,1,51,챔피언,9471138230,0.005,1128774,874,47320,한국,한국,워너브러더스 코리아(주),2018-05-01T00:00:00Z
2018,3,21,52,퍼시픽 림: 업라이징,8962712795,0.005,1077235,1145,49600,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2018-03-21T00:00:00Z
2018,8,8,53,몬스터 호텔 3,7934082800,0.004,1072220,715,21247,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-08-08T00:00:00Z
2018,9,19,54,더 넌,8777844795,0.005,1011580,824,32736,미국,미국,워너브러더스 코리아(주),2018-09-19T00:00:00Z
2018,7,11,55,스카이스크래퍼,8612111718,0.005,1002858,831,40862,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2018-07-11T00:00:00Z
2018,1,31,56,염력,7484644112,0.004,990104,1099,45623,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2018-01-31T00:00:00Z
2018,2,22,57,월요일이 사라졌다,7489885100,0.004,903175,381,24247,영국,"영국,미국,프랑스,벨기에",(주)스마일이엔티,2018-02-22T00:00:00Z
2018,7,25,58,인랑,7006622673,0.004,898945,1085,25427,한국,한국,워너브러더스 코리아(주),2018-07-25T00:00:00Z
2018,8,1,59,극장판 헬로카봇 : 백악기 시대,6589532500,0.004,879449,758,16173,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2018-08-01T00:00:00Z
2018,5,9,60,레슬러,6481379657,0.004,771141,957,43079,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2018-05-09T00:00:00Z
2018,8,29,61,상류사회,6313416163,0.003,768442,867,41725,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-29T00:00:00Z
2018,9,12,62,물괴,6106452954,0.003,723622,1183,46022,한국,한국,"롯데컬처웍스(주)롯데엔터테인먼트,(주)키다리이엔티",2018-09-12T00:00:00Z
2018,10,11,63,미쓰백,6040344066,0.003,722182,671,41961,한국,한국,(주)리틀빅픽쳐스,2018-10-11T00:00:00Z
2018,7,25,64,신비아파트: 금빛 도깨비와 비밀의 동굴,5001247250,0.003,678091,762,16175,한국,한국,(주)씨제이이엔엠,2018-07-25T00:00:00Z
2018,10,18,65,퍼스트맨,6094765639,0.003,665364,1190,40580,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2018-10-18T00:00:00Z
2018,12,12,66,스파이더맨: 뉴 유니버스,5305289076,0.003,639934,722,22113,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-12-12T00:00:00Z
2017,12,20,67,위대한 쇼맨,4856890300,0.003,588434,444,16054,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2017-12-20T00:00:00Z
2018,1,31,68,인시디어스4: 라스트 키,4301309864,0.002,554521,769,23869,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-01-31T00:00:00Z
2018,4,12,69,"그날, 바다",4446000528,0.002,540631,643,30376,한국,한국,(주)엣나인필름,2018-04-12T00:00:00Z
2018,3,8,70,툼레이더,4500905762,0.002,540410,806,31823,미국,미국,워너브러더스 코리아(주),2018-03-08T00:00:00Z
