연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2016,7,20,1,부산행,93178283048,0.053,11565479,1788,151315,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2016-07-20T00:00:00Z
2016,2,3,2,검사외전,77320403264,0.044,9707581,1812,153532,한국,한국,(주)쇼박스,2016-02-03T00:00:00Z
2016,4,27,3,캡틴 아메리카: 시빌 워,72672111827,0.042,8677249,1991,161696,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",2016-04-27T00:00:00Z
2016,9,7,4,밀정,61269783831,0.035,7500420,1444,138161,한국,"한국,미국",워너브러더스 코리아(주),2016-09-07T00:00:00Z
2016,8,10,5,터널,57529484417,0.033,7120508,1105,113201,한국,한국,(주)쇼박스,2016-08-10T00:00:00Z
2016,7,27,6,인천상륙작전,55101410303,0.032,7049643,1049,97019,한국,한국,(주)씨제이이엔엠,2016-07-27T00:00:00Z
2016,10,13,7,럭키,56444461256,0.032,6975290,1234,155977,한국,한국,(주)쇼박스,2016-10-13T00:00:00Z
2016,5,12,8,곡성,55863520382,0.032,6879908,1485,130322,한국,"한국,미국",이십세기폭스코리아(주),2016-05-12T00:00:00Z
2016,8,3,9,덕혜옹주,44393828109,0.025,5599229,964,97312,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2016-08-03T00:00:00Z
2016,10,26,10,닥터 스트레인지,47481830396,0.027,5446239,1503,162856,미국,미국,월트디즈니컴퍼니코리아(주),2016-10-26T00:00:00Z
2016,12,21,11,마스터,39784641065,0.023,4935320,1501,70786,한국,한국,(주)씨제이이엔엠,2016-12-21T00:00:00Z
2016,2,17,12,주토피아,37096057742,0.021,4706158,735,131005,미국,미국,월트디즈니컴퍼니코리아(주),2016-02-17T00:00:00Z
2016,11,16,13,신비한 동물사전,39300515858,0.023,4662534,1431,115676,미국,"미국,영국",워너브러더스 코리아(주),2016-11-16T00:00:00Z
2016,12,7,14,판도라,33955398164,0.019,4313864,1184,90758,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2016-12-07T00:00:00Z
2016,6,1,15,아가씨,35211229991,0.02,4287839,1171,90365,한국,한국,(주)씨제이이엔엠,2016-06-01T00:00:00Z
2016,1,28,16,쿵푸팬더3,31340798156,0.018,3984812,1365,97404,미국,미국,(주)씨제이이엔엠,2016-01-28T00:00:00Z
2016,2,24,17,귀향,27249738990,0.016,3587173,876,90286,한국,한국,(주)와우픽쳐스,2016-02-24T00:00:00Z
2016,2,17,18,데드풀,27595618651,0.016,3317196,1036,82521,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2016-02-17T00:00:00Z
2016,7,13,19,나우 유 씨 미 2,25116690113,0.0139999999999999,3100113,1200,56981,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,2016-07-13T00:00:00Z
2016,11,23,20,형,23113768293,0.013,2979659,993,83518,한국,한국,(주)씨제이이엔엠,2016-11-23T00:00:00Z
2016,5,25,21,엑스맨: 아포칼립스,24467887950,0.0139999999999999,2938818,1262,66471,미국,미국,이십세기폭스코리아(주),2016-05-25T00:00:00Z
