연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2005,8,4,1,웰컴 투 동막골,40328508500,0.052,6436508,356,72108,한국,한국,(주)쇼박스,2005-08-04T00:00:00Z
2005,9,7,2,가문의 위기(가문의 영광2),28622355500,0.037,4529876,351,61009,한국,한국,(주)쇼박스,2005-09-07T00:00:00Z
2005,1,27,3,말아톤,26284943000,0.034,4196840,238,59493,한국,한국,(주)쇼박스,2005-01-27T00:00:00Z
2005,12,1,4,해리 포터와 불의 잔,20628374500,0.026,3301353,504,40260,미국,미국,워너브러더스 코리아(주),2005-12-01T00:00:00Z
2005,7,21,5,아일랜드,20363994500,0.026,3218811,340,35990,미국,미국,워너브러더스 코리아(주),2005-07-21T00:00:00Z
2005,1,27,6,공공의 적 2,20091127000,0.026,3134421,299,40642,한국,한국,(주)시네마서비스,2005-01-27T00:00:00Z
2005,7,29,7,친절한 금자씨,20483051393,0.026,3119682,386,41438,한국,한국,CJ ENM,2005-07-29T00:00:00Z
2005,12,14,8,태풍,19372557600,0.025,3035086,481,36678,한국,한국,CJ ENM,2005-12-14T00:00:00Z
2005,6,16,9,미스터 & 미세스 스미스,18900071500,0.024,2963193,302,45087,미국,미국,이십세기폭스필름코퍼레이션,2005-06-16T00:00:00Z
2005,9,23,10,너는 내 운명,17653752500,0.023,2701230,306,46667,한국,한국,CJ ENM,2005-09-23T00:00:00Z
2005,7,7,11,우주전쟁,16758594690,0.021,2642874,401,37362,미국,미국,UIP코리아,2005-07-07T00:00:00Z
2005,3,10,12,마파도,16751202503,0.021,2636857,178,49473,한국,한국,CJ ENM,2005-03-10T00:00:00Z
2005,10,7,13,내 생애 가장 아름다운 일주일,14710541000,0.019,2290709,296,41056,한국,한국,CJ ENM,2005-10-07T00:00:00Z
2005,12,14,14,킹콩,13690627700,0.018,2211462,319,21052,미국,미국,UIP코리아,2005-12-14T00:00:00Z
