연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2019,1,23,1,극한직업,139651845516,0.073,16265618,2003,292584,한국,한국,(주)씨제이이엔엠,2019-01-23T00:00:00Z
2019,4,24,2,어벤져스: 엔드게임,122182694160,0.064,13934592,2835,242001,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2019-04-24T00:00:00Z
2019,11,21,3,겨울왕국 2,111596248720,0.0579999999999999,13369064,2648,282557,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2019-11-21T00:00:00Z
2019,5,23,4,알라딘,106955138359,0.0559999999999999,12552283,1409,266469,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2019-05-23T00:00:00Z
2019,5,30,5,기생충,85883963645,0.045,10085275,1948,192855,한국,한국,(주)씨제이이엔엠,2019-05-30T00:00:00Z
2019,7,31,6,엑시트,79232012162,0.0409999999999999,9426011,1660,202223,한국,한국,(주)씨제이이엔엠,2019-07-31T00:00:00Z
2019,7,2,7,스파이더맨: 파 프롬 홈,69010000100,0.036,8021145,2142,180474,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-07-02T00:00:00Z
2019,12,19,8,백두산,52905789770,0.0279999999999999,6290502,1971,99915,한국,한국,"(주)씨제이이엔엠,(주)덱스터스튜디오",2019-12-19T00:00:00Z
2019,3,6,9,캡틴 마블,51507488723,0.027,5802810,2100,186382,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2019-03-06T00:00:00Z
2019,10,2,10,조커,45381075450,0.024,5247874,1418,147380,미국,미국,워너브러더스 코리아(주),2019-10-02T00:00:00Z
2019,8,7,11,봉오동 전투,40588648538,0.021,4787538,1476,107030,한국,한국,(주)쇼박스,2019-08-07T00:00:00Z
2019,7,17,12,라이온 킹,41519457430,0.022,4743264,1936,126496,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2019-07-17T00:00:00Z
2019,9,11,13,나쁜 녀석들: 더 무비,39560195124,0.021,4573902,1511,113938,한국,한국,(주)씨제이이엔엠,2019-09-11T00:00:00Z
2019,10,23,14,82년생 김지영,30298542310,0.016,3678156,1486,145441,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2019-10-23T00:00:00Z
2019,8,14,15,분노의 질주: 홉스&쇼,32241767793,0.017,3657536,1311,94896,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2019-08-14T00:00:00Z
2019,6,20,16,토이 스토리 4,28758452040,0.015,3400034,1336,85875,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2019-06-20T00:00:00Z
2019,3,20,17,돈,28870244062,0.015,3389125,1431,120809,한국,한국,(주)쇼박스,2019-03-20T00:00:00Z
2019,5,15,18,악인전,29133760150,0.015,3364712,1307,97351,한국,한국,"(주)에이스메이커무비웍스,(주)키위미디어그룹",2019-05-15T00:00:00Z
2019,10,2,19,가장 보통의 연애,24885803430,0.013,2924563,1073,111527,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2019-10-02T00:00:00Z
2019,1,9,20,말모이,23685091520,0.012,2812877,1203,87591,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2019-01-09T00:00:00Z
2019,2,13,21,증인,20482789331,0.011,2534748,1047,89564,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2019-02-13T00:00:00Z
2019,12,18,22,시동,21236477800,0.011,2525986,1515,58603,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2019-12-18T00:00:00Z
2019,11,13,23,블랙머니,20863134010,0.011,2478964,1141,77469,한국,한국,(주)에이스메이커무비웍스,2019-11-13T00:00:00Z
2019,10,30,24,터미네이터: 다크 페이트,20153895830,0.011,2409062,1315,81336,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2019-10-30T00:00:00Z
2019,2,20,25,사바하,20007508194,0.01,2398519,1174,78096,한국,한국,(주)씨제이이엔엠,2019-02-20T00:00:00Z
2019,9,11,26,타짜: 원 아이드 잭,19687029214,0.01,2229239,1429,66479,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2019-09-11T00:00:00Z
2019,11,7,27,신의 한 수: 귀수편,18463776050,0.01,2157437,1246,82178,한국,한국,(주)씨제이이엔엠,2019-11-07T00:00:00Z
2019,2,5,28,알리타: 배틀 엔젤,18571455667,0.01,1952063,1043,52666,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2019-02-05T00:00:00Z
2019,1,9,29,내안의 그놈,16302228567,0.009,1902828,1041,61683,한국,한국,"(주)메리크리스마스,TCO(주)더콘텐츠온",2019-01-09T00:00:00Z
2019,1,30,30,뺑반,15224305848,0.008,1826912,1285,47215,한국,한국,(주)쇼박스,2019-01-30T00:00:00Z
2019,8,21,31,변신,15417922925,0.008,1804112,975,63211,한국,한국,(주)에이스메이커무비웍스,2019-08-21T00:00:00Z
2019,1,3,32,주먹왕 랄프 2: 인터넷 속으로,13877029723,0.00699999999999999,1754375,1453,56412,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2019-01-03T00:00:00Z
2019,5,9,33,걸캅스,13812802134,0.00699999999999999,1629528,973,63163,한국,한국,(주)씨제이이엔엠,2019-05-09T00:00:00Z
2019,7,31,34,사자,12931566145,0.00699999999999999,1611163,1405,47683,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2019-07-31T00:00:00Z
2018,12,19,35,아쿠아맨,13659344323,0.00699999999999999,1546297,1158,50500,미국,"미국,호주",워너브러더스 코리아(주),2018-12-19T00:00:00Z
2019,1,30,36,드래곤 길들이기 3,12346432876,0.006,1507922,971,42407,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2019-01-30T00:00:00Z
2019,5,1,37,나의 특별한 형제,12081618074,0.006,1478156,936,49927,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2019-05-01T00:00:00Z
2019,3,27,38,어스,12586771104,0.00699999999999999,1475087,1132,58522,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2019-03-27T00:00:00Z
2019,10,17,39,말레피센트 2,12191395690,0.006,1444952,1108,63768,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2019-10-17T00:00:00Z
2019,8,28,40,유열의 음악앨범,10233455040,0.005,1245532,1078,59626,한국,한국,CGV아트하우스,2019-08-28T00:00:00Z
2019,10,2,41,퍼펙트맨,10311352770,0.005,1240022,894,50055,한국,한국,(주)쇼박스,2019-10-02T00:00:00Z
2019,12,4,42,포드 V 페라리,10612013680,0.006,1208407,986,40175,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2019-12-04T00:00:00Z
2019,4,3,43,생일,9885147340,0.005,1197565,878,71797,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2019-04-03T00:00:00Z
2019,9,11,44,"힘을 내요, 미스터 리",9930518906,0.005,1181960,990,41831,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2019-09-11T00:00:00Z
2019,2,27,45,항거:유관순 이야기,9291455101,0.005,1157949,1094,46159,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2019-02-27T00:00:00Z
2019,9,25,46,장사리 : 잊혀진 영웅들,8997921050,0.005,1140876,1090,47821,한국,한국,워너브러더스 코리아(주),2019-09-25T00:00:00Z
2019,7,31,47,마이펫의 이중생활 2,8512902825,0.004,1114949,933,30858,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2019-07-31T00:00:00Z
2019,6,19,48,롱 리브 더 킹: 목포 영웅,9228798910,0.005,1094404,965,38839,한국,한국,"플러스엠 엔터테인먼트,(주)콘텐츠지오",2019-06-19T00:00:00Z
2019,12,11,49,쥬만지: 넥스트 레벨,8774663410,0.005,1054963,1195,42083,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-12-11T00:00:00Z
2019,6,26,50,존 윅 3: 파라벨룸,8205015858,0.004,1004365,849,29819,미국,미국,"와이드 릴리즈(주),(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2019-06-26T00:00:00Z
2019,12,26,51,천문: 하늘에 묻는다,7808242950,0.004,965624,1198,25734,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2019-12-26T00:00:00Z
2019,7,24,52,나랏말싸미,7871240823,0.004,958775,1211,39206,한국,한국,플러스엠 엔터테인먼트,2019-07-24T00:00:00Z
2019,6,5,53,엑스맨: 다크 피닉스,7649216640,0.004,862744,991,29386,미국,미국,이십세기폭스코리아(주),2019-06-05T00:00:00Z
2019,6,12,54,맨 인 블랙: 인터내셔널,7464209570,0.004,851917,1151,40520,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트,2019-06-12T00:00:00Z
2019,7,25,55,레드슈즈,6103833190,0.003,817729,717,20376,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2019-07-25T00:00:00Z
2019,4,25,56,뽀로로 극장판 보물섬 대모험,5886383900,0.003,766843,797,20075,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2019-04-25T00:00:00Z
2019,12,24,57,캣츠,6093167690,0.003,728328,1143,22732,미국,"미국,영국",유니버설픽쳐스인터내셔널 코리아(유),2019-12-24T00:00:00Z
2018,10,31,58,보헤미안 랩소디,6270535440,0.003,723804,732,27689,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2018-10-31T00:00:00Z
2019,5,9,59,명탐정 피카츄,5730788546,0.003,686809,817,25776,미국,미국,워너브러더스 코리아(주),2019-05-09T00:00:00Z
2019,12,19,60,신비아파트 극장판 하늘도깨비 대 요르문간드,5299942440,0.003,672122,841,13762,한국,한국,(주)씨제이이엔엠,2019-12-19T00:00:00Z
2019,12,4,61,나이브스 아웃,5648860210,0.003,667411,686,24205,미국,미국,(주)올스타엔터테인먼트,2019-12-04T00:00:00Z
2019,4,3,62,샤잠!,5743398797,0.003,657294,1148,45003,미국,미국,워너브러더스 코리아(주),2019-04-03T00:00:00Z
2019,10,30,63,날씨의 아이,5413288410,0.003,655876,716,28802,일본,일본,"플러스엠 엔터테인먼트,(주)미디어캐슬,워터홀컴퍼니(주)",2019-10-30T00:00:00Z
2019,11,27,64,나를 찾아줘,5117014620,0.003,645082,875,29475,한국,한국,워너브러더스 코리아(주),2019-11-27T00:00:00Z
2019,8,21,65,광대들: 풍문조작단,5228976088,0.003,637461,806,29048,한국,한국,워너브러더스 코리아(주),2019-08-21T00:00:00Z
2019,9,4,66,그것: 두 번째 이야기,5112010367,0.003,591346,999,25622,미국,미국,워너브러더스 코리아(주),2019-09-04T00:00:00Z
2019,9,4,67,극장판 헬로카봇 : 달나라를 구해줘!,4579618150,0.002,590413,889,20852,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2019-09-04T00:00:00Z
2019,1,31,68,극장판 헬로카봇: 옴파로스 섬의 비밀,4485953140,0.002,575362,752,15827,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2019-01-31T00:00:00Z
2019,3,14,69,이스케이프 룸,5007420664,0.003,563114,850,29219,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-03-14T00:00:00Z
2019,9,25,70,양자물리학,4536436380,0.002,554939,799,25296,한국,한국,(주)메리크리스마스,2019-09-25T00:00:00Z
2019,9,19,71,애드 아스트라,4518393460,0.002,513375,853,27816,미국,미국,이십세기폭스코리아(주),2019-09-19T00:00:00Z
2019,8,28,72,47미터 2,3846315153,0.002,501934,649,24027,미국,미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2019-08-28T00:00:00Z
2018,12,26,73,PMC: 더 벙커,4320591057,0.002,492517,893,23116,한국,한국,(주)씨제이이엔엠,2018-12-26T00:00:00Z
