연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2020,11,6,3426,더 인터프리터,6000,0,1,1,1,프랑스,프랑스,주식회사 플릭스코,2020-11-06T00:00:00Z
2020,11,2,3426,육덕 여직원과 러브호텔에서...,6000,0,1,1,1,일본,일본,(주)빅콘미디어,2020-11-02T00:00:00Z
2020,11,2,3426,신인 AV 여배우의 첫 촬영,6000,0,1,1,1,일본,일본,(주)빅콘미디어,2020-11-02T00:00:00Z
2020,8,5,3426,19금 어린아내,2000,0,1,1,1,한국,한국,(주)액티버스엔터테인먼트,2020-08-05T00:00:00Z
2020,6,9,3426,우리 형수님,5000,0,1,1,1,한국,한국,(주)영화사히트,2020-06-09T00:00:00Z
NA,NA,NA,3426,헤어지기 전 우리가 해야 할 10가지,1000,0,1,1,1,미국,미국,(주)스토리제이,NA
2020,6,9,3426,한입만,5000,0,1,1,1,한국,한국,(주)영화사히트,2020-06-09T00:00:00Z
2020,6,10,3426,음란한 과외 선생님,6000,0,1,1,1,일본,일본,(주)플라이어,2020-06-10T00:00:00Z
2020,6,10,3426,유부녀 집구멍으로 질속배달 택배기사,2000,0,1,1,1,일본,일본,(주)플라이어,2020-06-10T00:00:00Z
2020,6,10,3426,욕망에 눈뜬 여관 아줌마,6000,0,1,1,1,일본,일본,(주)플라이어,2020-06-10T00:00:00Z
2020,12,10,3426,코벤,1000,0,1,1,1,미국,미국,(주)영화사 안다미로,2020-12-10T00:00:00Z
2020,1,6,3426,허락해버린 간호사,6000,0,1,1,1,일본,일본,(주)도키엔터테인먼트,2020-01-06T00:00:00Z
NA,NA,NA,3426,레프트 비하인드: 남겨진 시대,6000,0,1,1,1,미국,미국,NA,NA
2020,1,6,3426,엄청 야한 새엄마,6000,0,1,1,1,일본,일본,(주)도키엔터테인먼트,2020-01-06T00:00:00Z
2020,6,25,3426,하숙집 : 굶주린 늑대들 무삭제,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-06-25T00:00:00Z
NA,NA,NA,3426,애니 불릿 윌 두,6000,0,1,1,1,미국,미국,NA,NA
2020,4,7,3426,여자 동창생들 무삭제,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-04-07T00:00:00Z
2020,1,7,3426,알라딘-램프의 신,1000,0,1,1,1,미국,미국,(유)조이앤시네마,2020-01-07T00:00:00Z
2020,3,28,3426,G컵 베이글의 격렬한 플레이,6000,0,1,1,1,일본,일본,(주)빅콘미디어,2020-03-28T00:00:00Z
2020,1,7,3426,에일리언 2020,1000,0,1,1,1,캐나다,캐나다,(유)조이앤시네마,2020-01-07T00:00:00Z
2020,2,27,3426,친구 아내들 무삭제,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-02-27T00:00:00Z
2020,6,1,3426,스와핑 : 선배의 아내,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-06-01T00:00:00Z
2020,3,6,3426,밀회 : 동생 아내 무삭제,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-03-06T00:00:00Z
2020,3,16,3426,바꿔 할래?,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-03-16T00:00:00Z
2020,1,23,3426,정사: 금지된 사랑,5000,0,1,1,1,헝가리,헝가리,(주)소나무픽쳐스,2020-01-23T00:00:00Z
NA,NA,NA,3426,젠틀 크리처,1000,0,1,1,1,프랑스,프랑스,NA,NA
2020,9,22,3426,바람피기 좋은 하루,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-09-22T00:00:00Z
2020,10,21,3426,처제의 순결,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-10-21T00:00:00Z
2020,5,13,3426,엄마의 일기 - 무삭제판,1000,0,1,1,1,한국,한국,(주)컨텐츠 빌리지,2020-05-13T00:00:00Z
2020,5,20,3426,어린 누나 4 - 무삭제판,1000,0,1,1,1,한국,한국,(주)컨텐츠 빌리지,2020-05-20T00:00:00Z
2020,3,30,3426,작은 엄마 2,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-03-30T00:00:00Z
2020,2,1,3426,친구엄마는 고양이상,6000,0,1,1,1,일본,일본,(주)도키엔터테인먼트,2020-02-01T00:00:00Z
2020,2,1,3426,엄청센 남자모델의 손맛-전편,6000,0,1,1,1,일본,일본,(주)도키엔터테인먼트,2020-02-01T00:00:00Z
2020,2,1,3426,엄청센 남자모델의 손맛-후편,6000,0,1,1,1,일본,일본,(주)도키엔터테인먼트,2020-02-01T00:00:00Z
2020,2,1,3426,오늘만난 마사지사와 으흥흥흥,6000,0,1,1,1,일본,일본,(주)도키엔터테인먼트,2020-02-01T00:00:00Z
2020,2,1,3426,만취한 동창회의 스와핑,6000,0,1,1,1,일본,일본,(주)도키엔터테인먼트,2020-02-01T00:00:00Z
2020,2,1,3426,남자 간호사의 문란한 성기록,6000,0,1,1,1,일본,일본,(주)도키엔터테인먼트,2020-02-01T00:00:00Z
2020,2,1,3426,옆집부인과 달콤한 혼욕,6000,0,1,1,1,일본,일본,(주)도키엔터테인먼트,2020-02-01T00:00:00Z
2020,2,1,3426,친구엄마의 핑크팬티,6000,0,1,1,1,일본,일본,(주)도키엔터테인먼트,2020-02-01T00:00:00Z
2020,2,1,3426,듬뿍 젖은 새엄마 - 실컷 흥분 한 날,6000,0,1,1,1,일본,일본,(주)도키엔터테인먼트,2020-02-01T00:00:00Z
